# Curve title: "Fe"
# x y type
6.1676000E+02 5.2273596E-01  o
6.4582500E+02 5.2642695E-01  o
6.7626000E+02 5.3011086E-01  o
7.0813500E+02 5.3379418E-01  o
7.4151000E+02 5.3749107E-01  o
7.7645500E+02 5.4121532E-01  o
8.1304500E+02 5.4496790E-01  o
8.5136000E+02 5.4884859E-01  o
8.9148500E+02 5.5268756E-01  o
9.3350000E+02 5.5662630E-01  o
9.7749500E+02 5.6061561E-01  o
1.0235500E+03 5.6467359E-01  o
1.0718000E+03 5.6878137E-01  o
1.1223500E+03 5.7294660E-01  o
1.1752500E+03 5.7719703E-01  o
1.2306000E+03 5.8152697E-01  o
1.2886000E+03 5.8595569E-01  o
1.3493500E+03 5.9048535E-01  o
1.4129000E+03 5.9512895E-01  o
1.4795000E+03 5.9990774E-01  o
1.5492500E+03 6.0480617E-01  o
1.6222500E+03 6.0984530E-01  o
1.6987000E+03 6.1500997E-01  o
1.7787500E+03 6.2026615E-01  o
1.8626000E+03 6.2548553E-01  o
1.9504000E+03 6.3039951E-01  o
2.0423000E+03 6.3516550E-01  o
2.1385500E+03 6.3984354E-01  o
2.2393500E+03 6.4446412E-01  o
2.3448500E+03 6.4904239E-01  o
2.4553500E+03 6.5360669E-01  o
2.5711000E+03 6.5816391E-01  o
2.6922500E+03 6.6272820E-01  o
2.8191000E+03 6.6729919E-01  o
2.9520000E+03 6.7187392E-01  o
3.0911500E+03 6.7645810E-01  o
3.2368000E+03 6.8103912E-01  o
3.3893500E+03 6.8563255E-01  o
3.5491000E+03 6.9026651E-01  o
3.7163500E+03 6.9493785E-01  o
3.8915000E+03 6.9963203E-01  o
4.0749000E+03 7.0436123E-01  o
4.2669500E+03 7.0912408E-01  o
4.4680500E+03 7.1394439E-01  o
4.6786000E+03 7.1883809E-01  o
4.8991000E+03 7.2381012E-01  o
5.1300000E+03 7.2881206E-01  o
5.3717500E+03 7.3370459E-01  o
5.6249000E+03 7.3861246E-01  o
5.8900000E+03 7.4343080E-01  o
6.1676000E+03 7.4815253E-01  o
6.4582500E+03 7.5284650E-01  o
6.7626000E+03 7.5757236E-01  o
7.0813500E+03 7.6234800E-01  o
7.4151000E+03 7.6716122E-01  o
7.7645500E+03 7.7201695E-01  o
8.1304500E+03 7.7692995E-01  o
8.5136000E+03 7.8189332E-01  o
8.9148500E+03 7.8688463E-01  o
9.3350000E+03 7.9182851E-01  o
9.7749500E+03 7.9676059E-01  o
1.0235500E+04 8.0159055E-01  o
1.0718000E+04 8.0643348E-01  o
1.1223500E+04 8.1130043E-01  o
1.1752500E+04 8.1618214E-01  o
1.2306000E+04 8.2102960E-01  o
1.2886000E+04 8.2588061E-01  o
1.3493500E+04 8.3052382E-01  o
1.4129000E+04 8.3511881E-01  o
1.4795000E+04 8.3971715E-01  o
1.5492500E+04 8.4430093E-01  o
1.6222500E+04 8.4886445E-01  o
1.6987000E+04 8.5343229E-01  o
1.7787500E+04 8.5799797E-01  o
1.8626000E+04 8.6254692E-01  o
1.9504000E+04 8.6704274E-01  o
2.0423000E+04 8.7149684E-01  o
2.1385500E+04 8.7597259E-01  o
2.2393500E+04 8.8038753E-01  o
2.3448500E+04 8.8472042E-01  o
2.4553500E+04 8.8900352E-01  o
2.5711000E+04 8.9311267E-01  o
2.6922500E+04 8.9709175E-01  o
2.8191000E+04 9.0090218E-01  o
2.9520000E+04 9.0458471E-01  o
3.0911500E+04 9.0817889E-01  o
3.2368000E+04 9.1167704E-01  o
3.3893500E+04 9.1507503E-01  o
3.5491000E+04 9.1837876E-01  o
3.7163500E+04 9.2161558E-01  o
3.8915000E+04 9.2478196E-01  o
4.0749000E+04 9.2789481E-01  o
4.2669500E+04 9.3100117E-01  o
4.4680500E+04 9.3405637E-01  o
4.6786000E+04 9.3690790E-01  o
4.8991000E+04 9.3955675E-01  o
5.1300000E+04 9.4203794E-01  o
5.3717500E+04 9.4434853E-01  o
5.6249000E+04 9.4650720E-01  o
5.8900000E+04 9.4856846E-01  o
6.1676000E+04 9.5055771E-01  o
6.4582500E+04 9.5250037E-01  o
6.7626000E+04 9.5437897E-01  o
7.0813500E+04 9.5620040E-01  o
7.4151000E+04 9.5794469E-01  o
7.7645500E+04 9.5964022E-01  o
8.1304500E+04 9.6127815E-01  o
8.5136000E+04 9.6282667E-01  o
8.9148500E+04 9.6427949E-01  o
9.3350000E+04 9.6564184E-01  o
9.7749500E+04 9.6693062E-01  o
1.0235500E+05 9.6814436E-01  o
1.0718000E+05 9.6931348E-01  o
1.1223500E+05 9.7042808E-01  o
1.1752500E+05 9.7149872E-01  o
1.2306000E+05 9.7253236E-01  o
1.2886000E+05 9.7353429E-01  o
1.3493500E+05 9.7448556E-01  o
1.4129000E+05 9.7539326E-01  o
1.4795000E+05 9.7628654E-01  o
1.5492500E+05 9.7717162E-01  o
1.6222500E+05 9.7805541E-01  o
1.6987000E+05 9.7892683E-01  o
1.7787500E+05 9.7978880E-01  o
1.8626000E+05 9.8064712E-01  o
1.9504000E+05 9.8150126E-01  o
2.0423000E+05 9.8234999E-01  o
2.1385500E+05 9.8320920E-01  o
2.2393500E+05 9.8407535E-01  o
2.3448500E+05 9.8493734E-01  o
2.4553500E+05 9.8579740E-01  o
2.5711000E+05 9.8665585E-01  o
2.6922500E+05 9.8750291E-01  o
2.8191000E+05 9.8833393E-01  o
2.9520000E+05 9.8914077E-01  o
3.0911500E+05 9.8992129E-01  o
3.2368000E+05 9.9066648E-01  o
3.3893500E+05 9.9138216E-01  o
3.5491000E+05 9.9205987E-01  o
3.7163500E+05 9.9271261E-01  o
3.8915000E+05 9.9333866E-01  o
4.0749000E+05 9.9394057E-01  o
4.2669500E+05 9.9452201E-01  o
4.4680500E+05 9.9508801E-01  o
4.6786000E+05 9.9563360E-01  o
4.8991000E+05 9.9615353E-01  o
5.1300000E+05 9.9664170E-01  o
5.3717500E+05 9.9708607E-01  o
5.6249000E+05 9.9748172E-01  o
5.8900000E+05 9.9782273E-01  o
6.1676000E+05 9.9811289E-01  o
6.4582500E+05 9.9835941E-01  o
6.7626000E+05 9.9857077E-01  o
7.0813500E+05 9.9876058E-01  o
7.4151000E+05 9.9893876E-01  o
7.7645500E+05 9.9911368E-01  o
8.1304500E+05 9.9929033E-01  o
8.5136000E+05 9.9946719E-01  o
8.9148500E+05 9.9962874E-01  o
9.3350000E+05 9.9974865E-01  o
9.7749500E+05 9.9980545E-01  o
1.0235500E+06 9.9982714E-01  o
1.0718000E+06 9.9984360E-01  o
1.1223500E+06 9.9986009E-01  o
1.1752500E+06 9.9987662E-01  o
1.2306000E+06 9.9989330E-01  o
1.2886000E+06 9.9990987E-01  o
1.3493500E+06 9.9992616E-01  o
1.4129000E+06 9.9994173E-01  o
1.4795000E+06 9.9995596E-01  o
1.5492500E+06 9.9996856E-01  o
1.6222500E+06 9.9997892E-01  o
1.6987000E+06 9.9998680E-01  o
1.7787500E+06 9.9999253E-01  o
1.8626000E+06 9.9999634E-01  o
1.9504000E+06 9.9999860E-01  o
2.0423000E+06 9.9999967E-01  o
2.1385500E+06 9.9999995E-01  o
2.2393500E+06 1.0000000E+00  o
2.3448500E+06 1.0000000E+00  o
2.4553500E+06 1.0000000E+00  o
2.5711000E+06 1.0000000E+00  o
2.6922500E+01 3.8269668E-03  u
